TimePeriod,GeoType,GeoID,GeoRank,Geography,Percent
2013-2014,CD,101,6,Financial District (CD1),4.0
2013-2014,CD,102,6,Greenwich Village and Soho (CD2),6.0
2013-2014,CD,103,6,Lower East Side and Chinatown (CD3),16.0
2013-2014,CD,104,6,Clinton and Chelsea (CD4),13.0
2013-2014,CD,105,6,Midtown (CD5),10.0
2013-2014,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),7.0
2013-2014,CD,107,6,Upper West Side (CD7),13.0
2013-2014,CD,108,6,Upper East Side (CD8),7.0
2013-2014,CD,109,6,Morningside Heights and Hamilton Heights (CD9),27.0
2013-2014,CD,110,6,Central Harlem (CD10),28.0
2013-2014,CD,111,6,East Harlem (CD11),29.0
2013-2014,CD,112,6,Washington Heights and Inwood (CD12),18.0
2013-2014,CD,201,6,Mott Haven and Melrose (CD1),31.0
2013-2014,CD,202,6,Hunts Point and Longwood (CD2),36.0
2013-2014,CD,203,6,Morrisania and Crotona (CD3),32.0
2013-2014,CD,204,6,Highbridge and Concourse (CD4),31.0
2013-2014,CD,205,6,Fordham and University Heights (CD5),30.0
2013-2014,CD,206,6,Belmont and East Tremont (CD6),37.0
2013-2014,CD,207,6,Kingsbridge Heights and Bedford (CD7),29.0
2013-2014,CD,208,6,Riverdale and Fieldston (CD8),19.0
2013-2014,CD,209,6,Parkchester and Soundview (CD9),29.0
2013-2014,CD,210,6,Throgs Neck and Co-op City (CD10),21.0
2013-2014,CD,211,6,Morris Park and Bronxdale (CD11),22.0
2013-2014,CD,212,6,Williamsbridge and Baychester (CD12),30.0
2013-2014,CD,301,6,Greenpoint and Williamsburg (CD1),19.0
2013-2014,CD,302,6,Fort Greene and Brooklyn Heights (CD2),20.0
2013-2014,CD,303,6,Bedford Stuyvesant (CD3),31.0
2013-2014,CD,304,6,Bushwick (CD4),22.0
2013-2014,CD,305,6,East New York and Starrett City (CD5),30.0
2013-2014,CD,306,6,Park Slope and Carroll Gardens (CD6),10.0
2013-2014,CD,307,6,Sunset Park (CD7),9.0
2013-2014,CD,308,6,Crown Heights and Prospect Heights (CD8),28.0
2013-2014,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),22.0
2013-2014,CD,310,6,Bay Ridge and Dyker Heights (CD10),8.0
2013-2014,CD,311,6,Bensonhurst (CD11),11.0
2013-2014,CD,312,6,Borough Park (CD12),10.0
2013-2014,CD,313,6,Coney Island (CD13),25.0
2013-2014,CD,314,6,Flatbush and Midwood (CD14),17.0
2013-2014,CD,315,6,Sheepshead Bay (CD15),14.0
2013-2014,CD,316,6,Brownsville (CD16),40.0
2013-2014,CD,317,6,East Flatbush (CD17),22.0
2013-2014,CD,318,6,Flatlands and Canarsie (CD18),17.0
2013-2014,CD,401,6,Long Island City and Astoria (CD1),16.0
2013-2014,CD,402,6,Woodside and Sunnyside (CD2),9.0
2013-2014,CD,403,6,Jackson Heights (CD3),11.0
2013-2014,CD,404,6,Elmhurst and Corona (CD4),9.0
2013-2014,CD,405,6,Ridgewood and Maspeth (CD5),15.0
2013-2014,CD,406,6,Rego Park and Forest Hills (CD6),8.0
2013-2014,CD,407,6,Flushing and Whitestone (CD7),8.0
2013-2014,CD,408,6,Hillcrest and Fresh Meadows (CD8),14.0
2013-2014,CD,409,6,Kew Gardens and Woodhaven (CD9),16.0
2013-2014,CD,410,6,South Ozone Park and Howard Beach (CD10),16.0
2013-2014,CD,411,6,Bayside and Little Neck (CD11),5.0
2013-2014,CD,412,6,Jamaica and Hollis (CD12),22.0
2013-2014,CD,413,6,Queens Village (CD13),15.0
2013-2014,CD,414,6,Rockaway and Broad Channel (CD14),28.0
2013-2014,CD,501,6,St. George and Stapleton (CD1),26.0
2013-2014,CD,502,6,South Beach and Willowbrook (CD2),15.0
2013-2014,CD,503,6,Tottenville and Great Kills (CD3),13.0
2013-2014,Borough,1,1,Bronx,18.0
2013-2014,Borough,2,1,Brooklyn,29.0
2013-2014,Borough,3,1,Manhattan,19.0
2013-2014,Borough,4,1,Queens,14.0
2013-2014,Borough,5,1,Staten Island,19.0
2013-2014,Citywide,1,0,New York City,20.0